week_end,pruid,prename,prfname,numtotal_atleast1dose,numtotal_1dose,numtotal_2doses,proptotal_atleast1dose,proptotal_1dose,proptotal_2doses,numweekdelta_atleast1dose,numweekdelta_2doses,propweekdelta_atleast1dose,propweekdelta_2doses
2021-01-16,61,Northwest Territories,Territoires du Nord-Ouest,1893,1893,0,4.191669804,4.191669804,0,,,,
2021-01-16,60,Yukon,Yukon,1311,1311,0,3.117568724,3.117568724,0,,,,
2021-01-16,62,Nunavut,Nunavut,2141,2141,0,5.440500089,5.440500089,0,,,,
2021-01-23,48,Alberta,Alberta,89557,80088,9469,2.025316856,1.811176976,0.21414,,,,
2021-01-23,59,British Columbia,Colombie-Britannique,114672,111408,3264,2.22763045,2.16422364,0.063407,,,,
2021-01-23,1,Canada,Canada,772032,712823,59209,2.031383148,1.875591465,0.155792,,,,
2021-01-23,46,Manitoba,Manitoba,25839,22443,3396,1.873391804,1.627173353,0.246218,,,,
2021-01-23,13,New Brunswick,Nouveau-Brunswick,11516,8675,2841,1.473621711,1.110078876,0.363543,,,,
2021-01-23,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,7428,5691,1737,1.42270778,1.090014806,0.332693,,,,
2021-01-23,61,Northwest Territories,Territoires du Nord-Ouest,9471,9471,0,20.97163482,20.97163482,0,,,,
2021-01-23,12,Nova Scotia,Nouvelle-Écosse,8288,5580,2708,0.846274727,0.569765079,0.27651,,,,
2021-01-23,62,Nunavut,Nunavut,4448,4448,0,11.30282316,11.30282316,0,,,,
2021-01-23,35,Ontario,Ontario,249132,217691,31441,1.69086306,1.477472466,0.213391,,,,
2021-01-23,11,Prince Edward Island,Île-du-Prince-Édouard,5219,3331,1888,3.26953798,2.086765857,1.182772,,,,
2021-01-23,24,Quebec,Québec,218833,218833,,2.552116018,2.552116018,,,,,
2021-01-23,47,Saskatchewan,Saskatchewan,23678,21213,2465,2.008855662,1.799723589,0.209132,,,,
2021-01-23,60,Yukon,Yukon,3951,3951,0,9.395510321,9.395510321,0,,,,
2021-01-30,1,Canada,Canada,855898,742467,113431,2.25205273,1.953591239,0.298461,,,,
2021-01-30,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,8352,5590,2762,1.599684353,1.070669964,0.529014,,,,
2021-01-30,11,Prince Edward Island,Île-du-Prince-Édouard,5282,2716,2566,3.309005482,1.701487862,1.607518,,,,
2021-01-30,12,Nova Scotia,Nouvelle-Écosse,12090,9361,2729,1.234491005,0.95583708,0.278654,,,,
2021-01-30,13,New Brunswick,Nouveau-Brunswick,12791,8326,4465,1.636774514,1.065419795,0.571355,,,,
2021-01-30,24,Quebec,Québec,239500,239500,,2.793142654,2.793142654,,,,,
2021-01-30,35,Ontario,Ontario,270795,201946,68849,1.837890204,1.370610887,0.467279,,,,
2021-01-30,46,Manitoba,Manitoba,32441,23938,8503,2.352053234,1.735564573,0.616489,,,,
2021-01-30,47,Saskatchewan,Saskatchewan,27231,24159,3072,2.310294304,2.049663989,0.26063,,,,
2021-01-30,48,Alberta,Alberta,90238,74244,15994,2.04071756,1.679015875,0.361702,,,,
2021-01-30,59,British Columbia,Colombie-Britannique,132116,127743,4373,2.566499447,2.481549084,0.08495,,,,
2021-01-30,61,Northwest Territories,Territoires du Nord-Ouest,12240,12122,118,27.10303138,26.84174398,0.261287,,,,
2021-01-30,60,Yukon,Yukon,7358,7358,0,17.49738419,17.49738419,0,,,,
2021-01-30,62,Nunavut,Nunavut,5464,5464,0,13.88458313,13.88458313,0,,,,
2021-02-06,1,Canada,Canada,900547,726759,173788,2.369533905,1.912260094,0.457274,,,,
2021-02-06,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,8890,4822,4068,1.702729155,0.923572552,0.779157,,,,
2021-02-06,11,Prince Edward Island,Île-du-Prince-Édouard,5310,1795,3515,3.326546594,1.124510572,2.202036,,,,
2021-02-06,12,Nova Scotia,Nouvelle-Écosse,12849,7716,5133,1.311991309,0.787868701,0.524123,,,,
2021-02-06,13,New Brunswick,Nouveau-Brunswick,13262,7844,5418,1.697045079,1.003741638,0.693303,,,,
2021-02-06,24,Quebec,Québec,257507,257507,,3.003147329,3.003147329,,,,,
2021-02-06,35,Ontario,Ontario,277440,175696,101744,1.882989931,1.192451697,0.690538,,,,
2021-02-06,46,Manitoba,Manitoba,33641,19998,13643,2.439056221,1.449904768,0.989151,,,,
2021-02-06,47,Saskatchewan,Saskatchewan,29777,24370,5407,2.526298464,2.067565355,0.458733,,,,
2021-02-06,48,Alberta,Alberta,90668,68989,21679,2.050441939,1.560174912,0.490267,,,,
2021-02-06,59,British Columbia,Colombie-Britannique,142074,129959,12115,2.759944612,2.524597336,0.235347,,,,
2021-02-06,61,Northwest Territories,Territoires du Nord-Ouest,12832,12533,299,28.41389695,27.75182126,0.662076,,,,
2021-02-06,60,Yukon,Yukon,10447,9968,479,24.84305146,23.70398554,1.139066,,,,
2021-02-06,62,Nunavut,Nunavut,5850,5562,288,14.86544863,14.13361116,0.731837,,,,
2021-02-13,59,British Columbia,Colombie-Britannique,148438,125971,22467,2.883572352,2.447126024,0.436446,,,,
2021-02-13,48,Alberta,Alberta,94996,44314,50682,2.148318949,1.002153837,1.146165,,,,
2021-02-13,47,Saskatchewan,Saskatchewan,32888,23342,9546,2.790237562,1.980349221,0.809888,,,,
2021-02-13,46,Manitoba,Manitoba,34848,14442,20406,2.526566724,1.047080941,1.479486,,,,
2021-02-13,35,Ontario,Ontario,292983,118340,174643,1.988480532,0.803175564,1.185305,,,,
2021-02-13,24,Quebec,Québec,293744,293744,,3.425757394,3.425757394,,,,,
2021-02-13,13,New Brunswick,Nouveau-Brunswick,13676,6172,7504,1.750021754,0.78978753,0.960234,,,,
2021-02-13,12,Nova Scotia,Nouvelle-Écosse,14727,6688,8039,1.503750953,0.682901227,0.82085,,,,
2021-02-13,11,Prince Edward Island,Île-du-Prince-Édouard,5709,812,4897,3.576507439,0.508692247,3.067815,,,,
2021-02-13,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,9792,4343,5449,1.875492001,0.831828202,1.043664,,,,
2021-02-13,60,Yukon,Yukon,10524,9657,867,25.02615809,22.964425,2.061733,,,,
2021-02-13,61,Northwest Territories,Territoires du Nord-Ouest,13578,12999,579,30.06576471,28.78368504,1.28208,,,,
2021-02-13,62,Nunavut,Nunavut,6498,4364,2134,16.51208294,11.08937057,5.422712,,,,
2021-02-13,1,Canada,Canada,972401,665188,307213,2.558597318,1.750253478,0.808344,,,,
2021-02-20,59,British Columbia,Colombie-Britannique,163613,108590,55023,3.178363514,2.109480872,1.068883,,,,
2021-02-20,48,Alberta,Alberta,103236,37048,66188,2.334665196,0.83783444,1.496831,,,,
2021-02-20,47,Saskatchewan,Saskatchewan,37785,21819,15966,3.205701967,1.851136991,1.354565,,,,
2021-02-20,46,Manitoba,Manitoba,36279,11082,25197,2.630317786,0.803472579,1.826845,,,,
2021-02-20,35,Ontario,Ontario,319913,84860,235053,2.171254894,0.575946242,1.595309,,,,
2021-02-20,24,Quebec,Québec,345990,345990,,4.035070676,4.035070676,,,,,
2021-02-20,13,New Brunswick,Nouveau-Brunswick,15282,4247,11035,1.955530304,0.543458788,1.412072,,,,
2021-02-20,12,Nova Scotia,Nouvelle-Écosse,14915,6690,8225,1.52294734,0.683105444,0.839842,,,,
2021-02-20,11,Prince Edward Island,Île-du-Prince-Édouard,6466,1304,5162,4.050743931,0.816914644,3.233829,,,,
2021-02-20,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10436,4324,6112,1.998839309,0.828189074,1.17065,,,,
2021-02-20,60,Yukon,Yukon,10613,9523,1090,25.23780082,22.6457719,2.592029,,,,
2021-02-20,61,Northwest Territories,Territoires du Nord-Ouest,14520,12586,1934,32.15163526,27.86917916,4.282456,,,,
2021-02-20,62,Nunavut,Nunavut,6977,2870,4107,17.72927096,7.292963688,10.43631,,,,
2021-02-20,1,Canada,Canada,1086025,650933,435092,2.857566633,1.712745491,1.144821,,,,
2021-02-27,59,British Columbia,Colombie-Britannique,191820,108035,83785,3.726315691,2.098699383,1.627616,,,,
2021-02-27,48,Alberta,Alberta,139961,52554,87407,3.165195044,1.188500085,1.976695,,,,
2021-02-27,47,Saskatchewan,Saskatchewan,46300,22836,23464,3.928119652,1.937419879,1.9907,,,,
2021-02-27,46,Manitoba,Manitoba,46651,17675,28976,3.382313598,1.281481487,2.100832,,,,
2021-02-27,35,Ontario,Ontario,425162,163239,261923,2.885581621,1.107905829,1.777676,,,,
2021-02-27,24,Quebec,Québec,431750,431750,,5.035237331,5.035237331,,,,,
2021-02-27,13,New Brunswick,Nouveau-Brunswick,21700,9558,12142,2.776796728,1.22307019,1.553727,,,,
2021-02-27,12,Nova Scotia,Nouvelle-Écosse,19734,7116,12618,2.015007898,0.726603639,1.288404,,,,
2021-02-27,11,Prince Edward Island,Île-du-Prince-Édouard,7376,2159,5217,4.62083007,1.352545027,3.268285,,,,
2021-02-27,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16031,7819,8212,3.070466939,1.497597217,1.57287,,,,
2021-02-27,60,Yukon,Yukon,10959,6157,4802,26.06059165,14.64139637,11.4192,,,,
2021-02-27,61,Northwest Territories,Territoires du Nord-Ouest,15217,10659,4558,33.69500233,23.60222316,10.09278,,,,
2021-02-27,62,Nunavut,Nunavut,7402,2321,5081,18.80923945,5.897898508,12.91134,,,,
2021-02-27,1,Canada,Canada,1380063,841878,538185,3.631244198,2.215163078,1.416081,,,,
2021-03-06,59,British Columbia,Colombie-Britannique,333255,246312,86943,6.473847022,4.78488307,1.688964,,,,
2021-03-06,48,Alberta,Alberta,202240,111622,90618,4.573624407,2.52431321,2.049311,,,,
2021-03-06,47,Saskatchewan,Saskatchewan,56513,29131,27382,4.794596672,2.471491438,2.323105,,,,
2021-03-06,46,Manitoba,Manitoba,59400,29038,30362,4.306647826,2.105327265,2.201321,,,,
2021-03-06,35,Ontario,Ontario,619315,347483,271832,4.203301286,2.358372946,1.844928,,,,
2021-03-06,24,Quebec,Québec,548041,548041,,6.391468448,6.391468448,,,,,
2021-03-06,13,New Brunswick,Nouveau-Brunswick,26331,14179,12152,3.369393302,1.814387134,1.555006,,,,
2021-03-06,12,Nova Scotia,Nouvelle-Écosse,25011,10578,14433,2.553834121,1.080103048,1.473731,,,,
2021-03-06,11,Prince Edward Island,Île-du-Prince-Édouard,8671,3159,5512,5.4321065,1.979013312,3.453093,,,,
2021-03-06,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,20651,11515,9136,3.955349806,2.205503512,1.749846,,,,
2021-03-06,60,Yukon,Yukon,14565,5972,8593,34.63568915,14.20146485,20.43422,,,,
2021-03-06,61,Northwest Territories,Territoires du Nord-Ouest,17056,5907,11149,37.76709993,13.0798698,24.68723,,,,
2021-03-06,62,Nunavut,Nunavut,9199,3741,5458,23.37560034,9.506263817,13.86934,,,,
2021-03-06,1,Canada,Canada,1940248,1366678,573570,5.105212076,3.596025369,1.509187,,,,
2021-03-13,59,British Columbia,Colombie-Britannique,409033,321939,87094,7.945918497,6.254021204,1.691897,,,,
2021-03-13,48,Alberta,Alberta,288021,196484,91537,6.513547644,4.443453412,2.070094,,,,
2021-03-13,47,Saskatchewan,Saskatchewan,69655,41289,28366,5.909571801,3.50298342,2.406588,,,,
2021-03-13,46,Manitoba,Manitoba,72282,39151,33131,5.240624884,2.838544933,2.40208,,,,
2021-03-13,35,Ontario,Ontario,874937,589270,285667,5.938212085,3.999385368,1.938827,,,,
2021-03-13,24,Quebec,Québec,714039,714039,,8.327402036,8.327402036,,,,,
2021-03-13,13,New Brunswick,Nouveau-Brunswick,39188,27023,12165,5.014613373,3.457943686,1.55667,,,,
2021-03-13,12,Nova Scotia,Nouvelle-Écosse,31964,15851,16113,3.263794084,1.618520837,1.645273,,,,
2021-03-13,11,Prince Edward Island,Île-du-Prince-Édouard,10393,4792,5601,6.510884886,3.002036022,3.508849,,,,
2021-03-13,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,27023,17781,9242,5.175798645,3.405649843,1.770149,,,,
2021-03-13,60,Yukon,Yukon,19181,8819,10362,45.61257491,20.97165414,24.64092,,,,
2021-03-13,61,Northwest Territories,Territoires du Nord-Ouest,19680,7293,12387,43.577423,16.14888953,27.42853,,,,
2021-03-13,62,Nunavut,Nunavut,10276,4238,6038,26.11236755,10.76919168,15.34318,,,,
2021-03-13,1,Canada,Canada,2585672,1987969,597703,6.803462196,5.230776347,1.572686,,,,
2021-03-20,59,British Columbia,Colombie-Britannique,452747,365553,87194,8.795111304,7.1012714,1.69384,,,,
2021-03-20,48,Alberta,Alberta,388455,295430,93025,8.78484607,6.681100963,2.103745,,,,
2021-03-20,47,Saskatchewan,Saskatchewan,101128,70522,30606,8.579759918,5.983128599,2.596631319,,,,
2021-03-20,46,Manitoba,Manitoba,90578,47170,43408,6.567130417,3.41994239,3.147188027,,,,
2021-03-20,35,Ontario,Ontario,1225457,927042,298415,8.317197201,6.291849594,2.025347607,,,,
2021-03-20,24,Quebec,Québec,945386,945386,,11.02546122,11.02546122,,,,,
2021-03-20,13,New Brunswick,Nouveau-Brunswick,49621,37446,12175,6.349651173,4.791701856,1.557949316,,,,
2021-03-20,12,Nova Scotia,Nouvelle-Écosse,40820,20720,20100,4.168066403,2.115686817,2.052379586,,,,
2021-03-20,11,Prince Edward Island,Île-du-Prince-Édouard,13007,7387,5620,8.148472984,4.627721222,3.520751762,,,,
2021-03-20,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,38915,29354,9561,7.453510131,5.622262274,1.831247857,,,,
2021-03-20,60,Yukon,Yukon,22146,11671,10475,52.66336916,27.75373347,24.90963569,,,,
2021-03-20,61,Northwest Territories,Territoires du Nord-Ouest,22113,8832,13281,48.96481477,19.55669715,29.40811762,,,,
2021-03-20,62,Nunavut,Nunavut,11858,5393,6465,30.13239143,13.70416487,16.42822656,,,,
2021-03-20,1,Canada,Canada,3402231,2771906,630325,8.95200551,7.293484124,1.658521,,,,
2021-03-27,59,British Columbia,Colombie-Britannique,609515,522171,87344,11.84050312,10.1437493,1.69675382,,,,
2021-03-27,48,Alberta,Alberta,504407,408276,96131,11.40708152,9.233094732,2.173987,,,,
2021-03-27,47,Saskatchewan,Saskatchewan,134586,98283,36303,11.41835662,8.338388419,3.079968,,,,
2021-03-27,46,Manitoba,Manitoba,117810,62870,54940,8.541518188,4.558231461,3.983287,,,,
2021-03-27,35,Ontario,Ontario,1672351,1363194,309157,11.35027427,9.252020529,2.098254,,,,
2021-03-27,24,Quebec,Québec,1218801,1218801,,14.21413386,14.21413386,,,,,
2021-03-27,13,New Brunswick,Nouveau-Brunswick,80216,68007,12209,10.26467863,8.702378576,1.5623,,,,
2021-03-27,12,Nova Scotia,Nouvelle-Écosse,64681,40387,24294,6.604475821,4.12385345,2.480622,,,,
2021-03-27,11,Prince Edward Island,Île-du-Prince-Édouard,15305,8901,6404,9.588097103,5.576194205,4.011903,,,,
2021-03-27,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,51244,41597,9647,9.814921577,7.967201874,1.84772,,,,
2021-03-27,60,Yukon,Yukon,23028,12268,10760,54.76077238,29.17340436,25.58737,,,,
2021-03-27,61,Northwest Territories,Territoires du Nord-Ouest,23721,9790,13931,52.52540909,21.6779965,30.84741,,,,
2021-03-27,62,Nunavut,Nunavut,13141,6284,6857,33.39262572,15.96828704,17.42434,,,,
2021-03-27,1,Canada,Canada,4528806,3860829,667977,11.91626796,10.15867602,1.757592,,,,
2021-04-03,59,British Columbia,Colombie-Britannique,804351,716818,87533,15.62540795,13.92498259,1.700425,,,,
2021-04-03,48,Alberta,Alberta,600594,488611,111983,13.58233474,11.04985757,2.532477,,,,
2021-04-03,47,Saskatchewan,Saskatchewan,182450,143281,39169,15.47916697,12.15604561,3.323121,,,,
2021-04-03,46,Manitoba,Manitoba,147826,86315,61511,10.71775289,6.258052308,4.459701,,,,
2021-04-03,35,Ontario,Ontario,2171573,1849757,321818,14.73850235,12.55433177,2.184184,,,,
2021-04-03,24,Quebec,Québec,1524366,1524366,,17.77775238,17.77775238,,,,,
2021-04-03,13,New Brunswick,Nouveau-Brunswick,110947,98654,12293,14.19710906,12.62406011,1.573049,,,,
2021-04-03,12,Nova Scotia,Nouvelle-Écosse,83796,54265,29531,8.556278597,5.54091434,3.015364,,,,
2021-04-03,11,Prince Edward Island,Île-du-Prince-Édouard,19831,12219,7612,12.42349256,7.654815975,4.768677,,,,
2021-04-03,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,78734,69071,9663,15.08016617,13.22938194,1.850784,,,,
2021-04-03,60,Yukon,Yukon,23414,11278,12136,55.67868353,26.81917626,28.85951,,,,
2021-04-03,61,Northwest Territories,Territoires du Nord-Ouest,24102,9633,14469,53.36905737,21.33035141,32.03871,,,,
2021-04-03,62,Nunavut,Nunavut,13414,5078,8336,34.08634666,12.90371763,21.18263,,,,
2021-04-03,1,Canada,Canada,5785398,5069344,716054,15.22263326,13.33854033,1.884093,,,,
2021-04-10,59,British Columbia,Colombie-Britannique,1022228,934409,87819,19.85790969,18.15192847,1.705981,,,,
2021-04-10,48,Alberta,Alberta,728291,563934,164357,16.47018143,12.75327485,3.716907,,,,
2021-04-10,47,Saskatchewan,Saskatchewan,249569,208065,41504,21.17358301,17.65235887,3.521224,,,,
2021-04-10,46,Manitoba,Manitoba,215922,147407,68515,15.65488235,10.68737434,4.967508,,,,
2021-04-10,35,Ontario,Ontario,2808322,2475356,332966,19.06012849,16.80028267,2.259846,,,,
2021-04-10,24,Quebec,Québec,1875893,1875893,,21.87739771,21.87739771,,,,,
2021-04-10,13,New Brunswick,Nouveau-Brunswick,135842,120051,15791,17.38274752,15.36208406,2.020663,,,,
2021-04-10,12,Nova Scotia,Nouvelle-Écosse,116818,85699,31119,11.92810341,8.750590953,3.177512,,,,
2021-04-10,11,Prince Edward Island,Île-du-Prince-Édouard,26329,17573,8756,16.49428348,11.00892717,5.485356,,,,
2021-04-10,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,100373,90699,9674,19.22475067,17.37185958,1.852891,,,,
2021-04-10,60,Yukon,Yukon,23872,7096,16776,56.76781128,16.87434605,39.89347,,,,
2021-04-10,61,Northwest Territories,Territoires du Nord-Ouest,24745,8276,16469,54.79285224,18.32554638,36.46731,,,,
2021-04-10,62,Nunavut,Nunavut,13730,4267,9463,34.88933499,10.84288364,24.04645,,,,
2021-04-10,1,Canada,Canada,7341934,6538725,803209,19.31821608,17.20479951,2.113417,,,,
2021-04-17,59,British Columbia,Colombie-Britannique,1289370,1201132,88238,25.04743855,23.33331779,1.714121,,,,
2021-04-17,48,Alberta,Alberta,932879,700554,232325,21.09690548,15.84291373,5.253992,,,,
2021-04-17,47,Saskatchewan,Saskatchewan,309482,266555,42927,26.25663772,22.6146854,3.641952,,,,
2021-04-17,46,Manitoba,Manitoba,267700,197933,69767,19.40891621,14.35063509,5.058281,,,,
2021-04-17,35,Ontario,Ontario,3493866,3148080,345786,23.71292711,21.36607173,2.346855,,,,
2021-04-17,24,Quebec,Québec,2329649,2329649,,27.16927762,27.16927762,,,,,
2021-04-17,13,New Brunswick,Nouveau-Brunswick,182761,163887,18874,23.38664271,20.97146937,2.415173,,,,
2021-04-17,12,Nova Scotia,Nouvelle-Écosse,173887,141405,32482,17.75532981,14.43864355,3.316686,,,,
2021-04-17,11,Prince Edward Island,Île-du-Prince-Édouard,33438,23866,9572,20.94784652,14.95129209,5.996554,,,,
2021-04-17,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,122791,113117,9674,23.51853945,21.66564835,1.852891,,,,
2021-04-17,60,Yukon,Yukon,24317,4218,20099,57.82602492,10.0304385,47.79559,,,,
2021-04-17,61,Northwest Territories,Territoires du Nord-Ouest,25374,6105,19269,56.18564691,13.51830119,42.66735,,,,
2021-04-17,62,Nunavut,Nunavut,14255,3322,10933,36.22341372,8.441541941,27.78187,,,,
2021-04-17,1,Canada,Canada,9199769,8299823,899946,24.20658173,21.83862919,2.367953,,,,
2021-04-24,59,British Columbia,Colombie-Britannique,1543066,1453897,89169,29.97576399,28.24355753,1.732206,,,,
2021-04-24,48,Alberta,Alberta,1127370,856730,270640,25.49528752,19.37480834,6.120479,,,,
2021-04-24,47,Saskatchewan,Saskatchewan,360103,316501,43602,30.55135359,26.85213387,3.69922,,,,
2021-04-24,46,Manitoba,Manitoba,349534,278119,71415,25.34208487,20.16431964,5.177765,,,,
2021-04-24,35,Ontario,Ontario,4268812,3908475,360337,28.9724986,26.52688534,2.445613,,,,
2021-04-24,24,Quebec,Québec,2780716,2780716,,32.42979736,32.42979736,,,,,
2021-04-24,13,New Brunswick,Nouveau-Brunswick,219365,195144,24221,28.07059974,24.97120833,3.099391,,,,
2021-04-24,12,Nova Scotia,Nouvelle-Écosse,238566,203751,34815,24.35960141,20.80469617,3.554905,,,,
2021-04-24,11,Prince Edward Island,Île-du-Prince-Édouard,39601,29317,10284,24.80877056,18.36617071,6.4426,,,,
2021-04-24,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,147422,137726,9696,28.23619094,26.37908612,1.857105,,,,
2021-04-24,60,Yukon,Yukon,24817,3290,21527,59.01502901,7.823646913,51.19138,,,,
2021-04-24,61,Northwest Territories,Territoires du Nord-Ouest,25856,4915,20941,57.25293948,10.88328425,46.36966,,,,
2021-04-24,62,Nunavut,Nunavut,15163,2982,12181,38.53073463,7.577567149,30.95317,,,,
2021-04-24,1,Canada,Canada,11140391,10171563,968828,29.31277789,26.7635819,2.549196,,,,
